,trial,trial_type,gain,loss,response_time,choice,outcome,total_gain,gain_prob,loss_prob,sub
0,1,symmetric,3.05,3.05,2.0365,safe,0.0,10.0,0.5,0.5,sub-065
1,2,symmetric,3.05,3.05,1.7203,safe,0.0,10.0,0.5,0.5,sub-065
2,3,symmetric,3.05,3.05,1.4192,safe,0.0,10.0,0.5,0.5,sub-065
3,4,negativeSkew,1.75,5.25,1.5532,gamble,1.75,11.75,0.75,0.25,sub-065
4,5,negativeSkew,1.75,5.25,1.5025,gamble,1.75,13.5,0.75,0.25,sub-065
5,6,symmetric,3.05,3.05,2.5526,safe,0.0,13.5,0.5,0.5,sub-065
6,7,positiveSkew,5.25,1.75,2.8691,gamble,-1.75,11.75,0.25,0.75,sub-065
7,8,negativeSkew,1.75,5.25,1.069,gamble,-5.25,6.5,0.75,0.25,sub-065
8,9,positiveSkew,5.25,1.75,1.1028,gamble,5.25,11.75,0.25,0.75,sub-065
9,10,positiveSkew,5.25,1.75,1.4026,safe,0.0,11.75,0.25,0.75,sub-065
10,11,positiveSkew,5.25,1.75,1.9025,safe,0.0,11.75,0.25,0.75,sub-065
11,12,symmetric,3.05,3.05,0.75402,gamble,-3.05,8.7,0.5,0.5,sub-065
12,13,symmetric,3.05,3.05,0.76909,gamble,3.05,11.75,0.5,0.5,sub-065
13,14,negativeSkew,1.75,5.25,0.73551,gamble,1.75,13.5,0.75,0.25,sub-065
14,15,positiveSkew,5.25,1.75,2.704,safe,0.0,13.5,0.25,0.75,sub-065
15,16,negativeSkew,1.75,5.25,1.4391,gamble,1.75,15.25,0.75,0.25,sub-065
16,17,negativeSkew,1.75,5.25,0.76958,gamble,-5.25,10.0,0.75,0.25,sub-065
17,18,positiveSkew,5.25,1.75,2.17,safe,0.0,10.0,0.25,0.75,sub-065
18,19,positiveSkew,5.25,1.75,0.73596,safe,0.0,10.0,0.25,0.75,sub-065
19,20,positiveSkew,5.25,1.75,2.1029,safe,0.0,10.0,0.25,0.75,sub-065
20,21,positiveSkew,5.25,1.75,1.369,safe,0.0,10.0,0.25,0.75,sub-065
21,22,symmetric,3.05,3.05,0.80233,gamble,-3.05,6.95,0.5,0.5,sub-065
22,23,negativeSkew,1.75,5.25,0.8861,gamble,1.75,8.7,0.75,0.25,sub-065
23,24,symmetric,3.05,3.05,0.76911,gamble,3.05,11.75,0.5,0.5,sub-065
24,25,positiveSkew,5.25,1.75,1.2526,safe,0.0,11.75,0.25,0.75,sub-065
25,26,negativeSkew,1.75,5.25,0.71945,gamble,1.75,13.5,0.75,0.25,sub-065
26,27,negativeSkew,1.75,5.25,0.80256,gamble,-5.25,8.25,0.75,0.25,sub-065
27,28,negativeSkew,1.75,5.25,0.8023,gamble,1.75,10.0,0.75,0.25,sub-065
28,29,symmetric,3.05,3.05,0.71999,gamble,-3.05,6.95,0.5,0.5,sub-065
29,30,symmetric,3.05,3.05,1.0193,gamble,-3.05,3.9,0.5,0.5,sub-065
30,31,symmetric,3.05,3.05,0.71912,gamble,-3.05,0.85,0.5,0.5,sub-065
31,32,symmetric,3.05,3.05,0.85271,gamble,3.05,3.9,0.5,0.5,sub-065
32,33,negativeSkew,1.75,5.25,0.78579,gamble,-5.25,-1.35,0.75,0.25,sub-065
33,34,symmetric,3.05,3.05,0.73647,gamble,-3.05,-4.4,0.5,0.5,sub-065
34,35,positiveSkew,5.25,1.75,0.95184,safe,0.0,-4.4,0.25,0.75,sub-065
35,36,positiveSkew,5.25,1.75,0.98566,safe,0.0,-4.4,0.25,0.75,sub-065
